variable, description
imp_nothybrid_overall_classLight, imputed prediction-only version; overall time (minutes) spent in light activity
imp_nothybrid_overall_classWalk, imputed prediction-only version; overall time (minutes) spent walking
imp_nothybrid_dur1_classSleep, imputed prediction-only version; time (minutes) spent sleeping - bouts 1-9 minutes long
imp_nothybrid_dur2_classSleep, imputed prediction-only version; time (minutes) spent sleeping - bouts 10-15 minutes long
imp_nothybrid_dur3_classSleep, imputed prediction-only version; time (minutes) spent sleeping - bouts 16-40 minutes long
imp_nothybrid_dur4_classSleep, imputed prediction-only version; time (minutes) spent sleeping - bouts 41+ minutes long
imp_nothybrid_dur1_classWalk, imputed prediction-only version; time (minutes) spent walking - bouts 1-9 minutes long
imp_nothybrid_dur2_classWalk, imputed prediction-only version; time (minutes) spent walking - bouts 10-15 minutes long
imp_nothybrid_dur3_classWalk, imputed prediction-only version; time (minutes) spent walking - bouts 16-40 minutes long
imp_nothybrid_dur4_classWalk, imputed prediction-only version; time (minutes) spent walking - bouts 41+ minutes long
imp_nothybrid_dur1mod, imputed prediction-only version; time (minutes) spent in MVPA - bouts 1-9 minutes long
imp_nothybrid_dur2mod, imputed prediction-only version; time (minutes) spent in MVPA - bouts 10-15 minutes long     
imp_nothybrid_dur3mod, imputed prediction-only version; time (minutes) spent in MVPA - bouts 16-40 minutes long       
imp_nothybrid_dur4mod, imputed prediction-only version; time (minutes) spent in MVPA - bouts 41+ minutes long
imp_nothybrid_dur1sed, imputed prediction-only version; time (minutes) spent sedentary - bouts 1-15 minutes long
imp_nothybrid_dur2sed, imputed prediction-only version; time (minutes) spent sedentary - bouts 16-40 minutes long           
imp_nothybrid_dur3sed, imputed prediction-only version; time (minutes) spent sedentary - bouts 41+ minutes long
imp_nothybrid_dur1_classLight, imputed prediction-only version; time (minutes) spent in light activity - bouts 1-9 minutes long
imp_nothybrid_dur2_classLight, imputed prediction-only version; time (minutes) spent in light activity - bouts 10-15 minutes long 
imp_nothybrid_dur3_classLight, imputed prediction-only version; time (minutes) spent in light activity - bouts 16-40 minutes long     
imp_nothybrid_dur4_classLight, imputed prediction-only version; time (minutes) spent in light activity - bouts 41+ minutes long
completeDaysAVM, Average activity for complete days version
imputedAVM, Average activity for imputed version
num_complete_days, Number of days in complete days version
num_imputed_days , Number of days in imputed version
